T,rep,CRI,CRI_mci,CRI_null_twin,TPR,FPR,F1,mean_p_true,mean_p_absent
150,0,0.488714377281668,0.5912159427896704,0.3300352716665479,0.6666666666666666,0.0,0.8,0.16187554500168547,0.6277556486238809
150,1,0.4529947739627983,0.5503495529618119,0.4126159591269599,0.0,0.0,0.0,0.1722814094804145,0.6719131648894641
150,2,0.5096387814401309,0.6450746332325019,0.35459916744741415,0.6666666666666666,0.0,0.8,0.08169139456904206,0.626584493223478
150,3,0.5438335690480958,0.6967904494826306,0.36055717971215095,0.6666666666666666,0.0,0.8,0.0938029595167686,0.576954254763616
150,4,0.5500283917441415,0.6596687601701718,0.28803982891868507,0.6666666666666666,0.0,0.8,0.10165979739298048,0.5660755452101511
150,5,0.49581192476024016,0.6068817314350654,0.3643670375959137,0.5,0.0,0.6666666666666666,0.117560397439934,0.6330639678397018
150,6,0.4668770855983102,0.5799884259682466,0.4318594764871677,0.6666666666666666,0.0,0.8,0.13037735795848396,0.6673714332160917
150,7,0.4951424711864497,0.5458886025195062,0.4030033282033162,0.0,0.0,0.0,0.20326359180461998,0.6053888411498602
150,8,0.5584885234911567,0.6963905553086166,0.41873943817912396,0.6666666666666666,0.0,0.8,0.12185397866200942,0.5480639757911212
150,9,0.47249010281778125,0.6126650657339456,0.4107371215247557,0.5,0.0,0.6666666666666666,0.09959550173422431,0.6701480289982168
150,10,0.49557119694692287,0.5944681166165264,0.31052713722760794,0.5,0.05555555555555555,0.6,0.31458245930902173,0.567710917634429
150,11,0.5061619357329725,0.5839630591452167,0.3751289279967961,0.8333333333333334,0.0,0.9090909090909091,0.05421189566463872,0.6403801204678239
250,0,0.49748709029868843,0.662168549821075,0.40024287446544315,0.6666666666666666,0.05555555555555555,0.7272727272727272,0.2214375976836851,0.5962046803738537
250,1,0.45520951275336685,0.6297266625641351,0.3612151017329267,0.6666666666666666,0.0,0.8,0.07747321056449592,0.7005629128073455
250,2,0.3971824578353853,0.5341711450669693,0.3763454379016805,0.3333333333333333,0.0,0.5,0.059200657975572356,0.7840231702276288
250,3,0.39433461686585636,0.47396133043156996,0.3570211191008852,0.6666666666666666,0.0,0.8,0.18517332009865997,0.7458294041459714
250,4,0.5594087476585194,0.5950461696917024,0.4081459519946904,0.5,0.1111111111111111,0.5454545454545454,0.1436273732941178,0.5395792120239349
250,5,0.4863282956673025,0.5530967053723983,0.3803668981976741,0.6666666666666666,0.0,0.8,0.044468733418067896,0.670072694637574
250,6,0.5149585667415855,0.6588812690209076,0.40408086238449015,0.6666666666666666,0.0,0.8,0.07691646258197378,0.6210830901505614
250,7,0.49560191248980245,0.6099572398473128,0.29076388931429253,0.5,0.0,0.6666666666666666,0.10371483661467336,0.637959171142039
250,8,0.5226863643879678,0.6165182508192788,0.4849336793635687,0.6666666666666666,0.05555555555555555,0.7272727272727272,0.11122408547034035,0.5993434856592628
250,9,0.4903212555011319,0.5581072297471599,0.4126192060596491,0.5,0.05555555555555555,0.6,0.17759394157356811,0.6203736788073014
250,10,0.505288363005798,0.6042716017240424,0.4828628154437238,1.0,0.0,1.0,0.015051180132301592,0.6545984559481689
250,11,0.5317678213354053,0.5926643629729667,0.4101901706784514,0.8333333333333334,0.0,0.9090909090909091,0.03968400593106399,0.6110815695757716
500,0,0.5753666117347498,0.5808182842702778,0.30365794490270137,0.8333333333333334,0.0,0.9090909090909091,0.018309490738034413,0.560074687440989
500,1,0.5093460747665544,0.567506466142738,0.3660784530165536,0.8333333333333334,0.0,0.9090909090909091,0.012090488259062596,0.6501750708915734
500,2,0.5418957704438794,0.62625802014655,0.36381643673038955,1.0,0.0,1.0,0.0020185216222194193,0.6101327988674209
500,3,0.4815156043090495,0.6021868811978621,0.40010638001576504,0.8333333333333334,0.0,0.9090909090909091,0.01454603910471671,0.6864638478863616
500,4,0.4753253557288303,0.5849583649684891,0.40813926137883827,0.8333333333333334,0.0,0.9090909090909091,0.025732055070440962,0.6909888406714126
500,5,0.5430084595139408,0.6510015928081234,0.3105234412081175,1.0,0.0,1.0,0.0009568498322171104,0.60900310403734
500,6,0.4989287542458204,0.5504596120541743,0.419109507540504,0.8333333333333334,0.0,0.9090909090909091,0.011062565607087146,0.6644074724698771
500,7,0.5112949743403734,0.57013574827948,0.36698564323544036,0.8333333333333334,0.0,0.9090909090909091,0.01886791965235572,0.6453173943287169
500,8,0.5026196766798996,0.6248241233132712,0.4122907237422746,0.8333333333333334,0.1111111111111111,0.7692307692307692,0.02066831000536225,0.6562843277583463
500,9,0.47132907636276455,0.5075831395082377,0.48144335583946174,1.0,0.0,1.0,0.00043351368669360585,0.704750060287416
500,10,0.4980115458117784,0.6067598001062224,0.3301049229228954,1.0,0.0,1.0,0.0005775377747857894,0.6691254263260336
500,11,0.5494673349347834,0.6396263053513358,0.39980823125168763,0.8333333333333334,0.0,0.9090909090909091,0.033623672358107926,0.5895023293009195
1000,0,0.5280873857605917,0.6195091484310822,0.3219975805529217,1.0,0.0,1.0,7.071720992557484e-05,0.6291932465825693
1000,1,0.5074405435981386,0.573856544708655,0.4224771081372919,1.0,0.0,1.0,0.00035290836340299653,0.6566283057480141
1000,2,0.48039318916212903,0.5709404269110006,0.3687310111471055,1.0,0.0,1.0,5.81845049301144e-05,0.6927896862821847
1000,3,0.49551917262698275,0.6044367382545788,0.3960780413828392,1.0,0.0,1.0,7.535630437775313e-05,0.6726159843958972
1000,4,0.5210360687639686,0.5938514152154972,0.3960073537980531,1.0,0.0,1.0,0.0002520738686351646,0.638534550358497
1000,5,0.561770055808491,0.656000139148029,0.4381167710726427,1.0,0.0,1.0,1.2548412635648987e-06,0.5843061739749241
1000,6,0.5195451508635476,0.6646450218961528,0.3126427002070905,1.0,0.1111111111111111,0.8571428571428571,0.0006988382547969593,0.6403735194303375
1000,7,0.534626581048053,0.6564963342646546,0.43909084134362286,1.0,0.0,1.0,0.00019826206469819585,0.6204318045810298
1000,8,0.49982815757865573,0.5897208937180967,0.2922186709038307,1.0,0.0,1.0,1.3041619879583521e-06,0.666895355174463
1000,9,0.4720485075346531,0.5913458969822443,0.3546657301173055,1.0,0.0,1.0,4.019705806398063e-05,0.7039219242677746
1000,10,0.5229747646629532,0.5768421851830465,0.37696222257714085,1.0,0.0,1.0,1.1904843831844758e-06,0.6360332502879346
1000,11,0.5568136705200339,0.6463885661108164,0.39131641655075444,1.0,0.05555555555555555,0.923076923076923,0.00035711088042322814,0.5907960690131469
2000,0,0.4808866322746146,0.6183505054826337,0.38147345214284645,1.0,0.0,1.0,2.3487771128039014e-07,0.6921510786746102
2000,1,0.5167760551708418,0.5520239312968285,0.3470947694187604,1.0,0.0,1.0,1.529287548448129e-09,0.6442985925957816
2000,2,0.5992302775554927,0.6247592875267705,0.4821926330786358,1.0,0.0,1.0,5.872466324515398e-06,0.5343576724372346
