phi,kappa_theory,mean_p_naive,mean_p_cond,mean_p_naive_theory,fpr05_naive,fpr05_cond
0.0,1.0,0.49211700810473,0.4962374102759217,0.5,0.07333333333333333,0.07
0.5,1.6666666666666667,0.4180056381742375,0.48765412767900707,0.4195693767448338,0.1,0.03666666666666667
0.8,4.555555555555557,0.2757839774169216,0.5151681753671856,0.2789343361135709,0.39666666666666667,0.03666666666666667
0.95,19.512820512820504,0.1583940577062499,0.49977581325918796,0.14172971084142186,0.6166666666666667,0.05333333333333334
